                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4702,                  2.479,                 1.4954,                0.61606,                0.85271,                0.94143,                0.65707,                 1.1945,                 1.7528,                 1.1398,                 0.0991,                 0.0001,                 0.0001
                      1,                  1.274,                  2.409,                 1.3612,                0.63009,                   0.75,                0.91018,                0.63971,                  1.195,                 1.7736,                 1.1496,               0.097288,             0.00028812,             0.00028812
                      2,                 1.2605,                 2.5295,                  1.362,                0.47602,                  0.875,                0.91018,                0.64017,                 1.2114,                 1.7485,                 1.1597,                0.09546,              0.0004604,              0.0004604
                      3,                 1.2645,                 2.6141,                   1.39,                0.63553,                   0.75,                0.92208,                0.64457,                 1.2163,                 1.6571,                 1.1734,               0.093617,             0.00061684,             0.00061684
                      4,                 1.2773,                 2.3106,                 1.4012,                 0.7186,                   0.75,                  0.945,                 0.6486,                 1.2017,                 1.5267,                  1.198,               0.091757,             0.00075744,             0.00075744
                      5,                 1.3702,                 2.1306,                 1.4489,                0.81742,                0.83031,                   0.97,                0.66582,                 1.1812,                 1.4502,                 1.2117,               0.089882,              0.0008822,              0.0008822
                      6,                 1.1166,                  1.746,                 1.2786,                0.70378,                0.96399,                  0.995,                0.68228,                 1.1622,                 1.5585,                 1.2849,               0.087991,             0.00099112,             0.00099112
                      7,                 1.2589,                 1.6561,                 1.4381,                   0.89,                      1,                  0.995,                 0.6939,                 1.1339,                 1.6444,                 1.2837,               0.086084,              0.0010842,              0.0010842
                      8,                 1.1158,                 1.4131,                 1.2814,                0.90237,                      1,                  0.995,                 0.6944,                 1.1282,                 1.6433,                 1.2908,               0.084161,              0.0011614,              0.0011614
                      9,                 1.1447,                 1.3697,                 1.3137,                0.91059,                      1,                  0.995,                0.69111,                 1.1155,                 1.7132,                  1.293,               0.082223,              0.0012228,              0.0012228
                     10,                0.99293,                  1.165,                  1.214,                0.92045,                      1,                  0.995,                0.69146,                 1.1021,                 1.8243,                 1.2931,               0.080268,              0.0012684,              0.0012684
                     11,                  1.112,                 1.3355,                 1.3032,                0.89686,                      1,                  0.995,                0.69116,                 1.0853,                 1.8723,                 1.2843,               0.078298,              0.0012981,              0.0012981
                     12,                 1.0973,                 1.1062,                 1.2802,                0.93102,                      1,                  0.995,                0.69223,                 1.0809,                 1.6465,                 1.2638,               0.076312,               0.001312,               0.001312
                     13,                 1.1531,                 1.0252,                 1.2904,                0.94052,                      1,                  0.995,                 0.7048,                 1.0528,                 1.5303,                 1.2522,                0.07431,                0.00131,                0.00131
                     14,                 1.0726,                 1.1672,                 1.2548,                0.95296,                      1,                  0.995,                0.69552,                 1.0237,                 1.3559,                 1.2203,               0.072292,              0.0012922,              0.0012922
                     15,                0.74461,                 1.1918,                 1.0778,                0.95349,                      1,                  0.995,                0.69553,                 1.0159,                  1.335,                  1.212,               0.070259,              0.0012586,              0.0012586
                     16,                 0.6985,                  1.245,                 1.1384,                0.94749,                      1,                  0.995,                0.69554,                0.98944,                  1.075,                 1.1914,               0.068209,              0.0012091,              0.0012091
                     17,                0.73086,                 1.0631,                 1.0427,                0.94477,                      1,                  0.995,                0.71775,                0.96606,                0.95807,                 1.1728,               0.066144,              0.0011438,              0.0011438
                     18,                0.69544,                 1.0804,                 1.0376,                 0.9362,                      1,                  0.995,                0.72362,                0.94214,                 0.8535,                 1.1557,               0.064063,              0.0010626,              0.0010626
                     19,                0.68704,                0.96321,                 1.1254,                0.93177,                      1,                  0.995,                0.74096,                0.92421,                0.75413,                 1.1345,               0.061966,             0.00096564,             0.00096564
                     20,                0.60951,                0.83328,                 1.0364,                0.92294,                      1,                  0.995,                0.74094,                0.92042,                0.65626,                 1.1355,               0.059853,              0.0008528,              0.0008528
                     21,                0.59831,                0.73761,                 1.0132,                0.92636,                      1,                  0.995,                0.78964,                0.90894,                0.61121,                 1.1252,               0.057724,             0.00072412,             0.00072412
                     22,                0.61596,                0.70026,                 1.0286,                0.90864,                      1,                  0.995,                0.74266,                0.90171,                 0.6049,                 1.1058,                0.05558,              0.0005796,              0.0005796
                     23,                0.60945,                0.76913,                 1.0599,                0.90048,                0.98843,                  0.995,                 0.8021,                0.89389,                0.59958,                  1.099,               0.053419,             0.00041924,             0.00041924
                     24,                0.54136,                0.68842,                 1.0469,                0.89391,                0.98331,                  0.995,                0.80209,                0.88615,                0.59937,                 1.0924,               0.051243,             0.00024304,             0.00024304
